title	author	WD_signature	storage	publisher	year	pages
Karaiby dla żeglarzy : poradnik subiektywny	Kowalski, Piotr (żeglarstwo). 		magazyn	Wydawnictwo charter.pl Piotr Kowalski, [ca 	2012	110
Dacia Logan : poradnik użytkownika	Korp, Dieter. 		magazyn	Wydawnictwa Komunikacji i Łączności, 	2011	205
Leksykon wyrazów i zwrotów lekarskich	Kostrzewa, Zbigniew. 	PG6830.M4 K67 2011		Łódzkie Towarzystwo Naukowe, cop. 	2011	198
Europejska integracja militarna : sojusze wojskowe XX wieku	Kośmider, Tomasz (1967- ). 	UA646 .K674 2011		Wydawnictwo Akademii Obrony Narodowej, 	2011	210
Ukraina : przewodnik historyczny : tragiczne dzieje, polskie ślady	Koper, Sławomir (1963- ). 	DK508.51 .K66 2011	magazyn	Bellona, cop. 	2011	449
Współczesne Niemcy i przestrzeń europejska : wybrane zagadnienia	Kosman, Michał M. (1972- ). 	DD290.3 .K665 2011		Wydawnictwo Adam Marszałek, 	2011	262
Poznańska opozycja demokratyczna 1981-1989 w obiektywie Jana Kołodziejskiego	Kołodziejski, Jan (1963- ). 	DK4750.3 .K66 2011	magazyn	Instytut Pamięci Narodowej, 	2011	399
Błogosławione wzory życia franciszkańskiego w Polsce : cykl kazań hagiograficznych o polskich franciszkanach żyjących za furtą i w świecie	Kosmana, Ignacy (1960- ). 		magazyn	Wydawnictwo Sióstr Loretanek, 	2011	111
I Kongres Tańca : [Warszawa, 27.-29.04.2011] : raport	Kongres Tańca (1 ; 2011 ; Warszawa). 	GV1583 .K665 2011		Narodowe Centrum Kultury, cop. 	2011	200
Felix, Net i Nika oraz  Bunt Maszyn 	Kosik, Rafał (1971- ). 		magazyn	Powergraph, 	2011	485
Samotni.pl	Kosmowska, Barbara (1958- ). 	PG7170.O734 S26 2011		Wydawnictwo W.A.B., 	2011	226
Śląskie zamki i pałace Donnersmarcków = Schlesische Schlösser der Donnersmarcks	Krawczyk, Jarosław A. (1963- ). 		magazyn	"Przedsiębiorstwo Produkcyjno-Handlowo-Usługowe ""Rococo"" - Jarosław Krawczyk, "	2011	160
Protokół budapesztański	LeBor, Adam. 	PR6062.E29 B83165 2011		Wydawnictwo Sonia Draga, 	2011	447
Telemedycyna w krajach tropikalnych i subtropikalnych Afryki i Azji : perspektywa geograficzna	Łęcka, Izabella. 	R119.9 .L43 2011	magazyn	Wydział Geografii i Studiów Regionalnych UW, 	2011	398
Czarodziej z Łanowej	Konieczny, Mirosław (1964- ). 		magazyn	nakładem Adama Koniecznego, 	2011	606
The development of american finance	Konings Martijn (1975- ). 	HG181 .K66 2011		Cambridge University Press, 	2011	199
